name,fileorder,number,parkprop,borough,parkname,parknumber,commboard,council,Location,extant,dedicated,cast,descrip,dimen,sponsor,materials,foundry,fabricator,sculptor,architect,donor,maintain,contractor,created,Name2,Name3,MaintainedByParks,Installation,Rededication,Cost,Categories,inscribed
Admiral George Dewey Memorial,"Dewey, George",1783,Y,Manhattan,Battery Park,M005,1,1,"Upper Promenade, southwest of Castle Clinton",Y,"May 3, 1973",1973,Plaque with two relief medallions on plinth,"Plaque H: 3'9"" W: 2'8"" D: 1""; Plinth H: 4' W: 3'4"" D: 2'8""",,"Bronze, Barre granite (Presbry-Leland Company)","U.S. Bronze Sign Company, NY",,Daniel Chester French (replica medallions based on French's originals),,"Eighteen civic, veterans', and historical associations, under auspices of American Battle Monuments Commission",,,01/20/1998,,,Y         ,,,"$7,000"," Portrait, Sculpture, Soldier, War Memorial, Spanish-American War","Obverse of medal at top of plaque: THE GIFT / OF THE / PEOPLE OF THE / UNITED STATES / TO THE OFFICERS / AND MEN OF THE / ASIATIC SQUADRON / UNDER THE COMMAND / OF COMMODORE GEORGE DEWEY / --- / D.C. FRENCH 1898 /   Reverse of medal at top of plaque: IN MEMORY OF THE VICTORY OF MANILA BAY / MAY 1 1898 / U.S.S. OLYMPIA /   Main text on plaque: THIS MONUMENT ERECTED ON / ADMIRAL GEORGE DEWEY / PROMENADE / TO COMMEMORATE THE / 75TH ANNIVERSARY OF / THE BATTLE OF MANILA BAY / MAY 1, 1898 / UNITED SPANISH WAR VETERANS / NAVAL ACADEMY ASSOCIATION OF NEW YORK / SONS OF THE REVOLUTION IN THE STATE OF NEW YORK / SONS OF THE AMERICAN REVOLUTION, NEW YORK CHAPTER / NAVAL ORDER OF THE UNITED STATES / NAVY LEAGUE OF THE UNITED STATES - NEW YORK COUNCIL / NEW YORK STATE SOCIETY OF THE CINCINNATI / UNITED STATES NAVAL INSTITUTE / THE MILITARY CHAPLAINS ASSOCIATION OF THE / UNITED STATES OF AMERICA / RESERVE OFFICERS ASSOCIATION OF THE UNITED STATES / NAVAL RESERVE ASSOCIATION / ROBERT L. HAGUE POST, AMERICAN LEGION / CATHOL..."
Adoption of the Constitution,Adoption of the Constitution,7,Y,the Bronx,Van Cortlandt Park,X092,0,11,"West side of spice garden, Van Cortlandt Mansion, Broadway and 259th Street",Y,1937,ca. 1937,Plaque on boulder,"H: 8¼"" W: 1'",,Bronze,,,,,National Society of Colonial Dames,,,07/01/1993,,,Y         ,,,," Revolutionary War, Colonial, War Memorial","TO COMMEMORATE / THE ADOPTION OF THE CONSTITUTION / OF THE UNITED STATES OF AMERICA / SEPT. 17, 1787 / THIS TREE WAS PLANTED ON THE / 150TH ANNIVERSARY / BY THE NATIONAL SOCIETY OF / COLONIAL DAMES / IN THE STATE OF NEW YORK / VAN CORTLANDT PARK - 1937"
Æsculapius,Aesculapius,8,N,Manhattan,,,9,7,"City College Library, Convent Avenue at 139th Street",Y,1931,ca. 1931,Bust,,,Bronze,,,,,$50; Dr. Francis Huber,,,07/01/1993,,,,,,,,
African Antelopes,African Antelopes,40,O,Manhattan,Central Park,M010,7,8,Central Park Zoo; Central Park Wildlife Center; center of east façade,Y,1935,1935,Bas-relief in three continuous sections,"Total H: 2'1"" W: 23'2"" (approximate)",,Indiana limestone,,,Frederick George Richard Roth,Aymar Embury II,,,,07/01/1993,,,Y         ,,,," Sculpture, Animal: other",
Alamo,Alamo,9,N,Manhattan,,MZ032,2,2,"Astor Place, Lafayette and 8th Streets; Not presently accessible; under construction.",Y,1967,ca. 1967,Tilted cube on pivot,H: 10'  W: 8' D: 8',Cooper Union,Cor-Ten steel (painted black),,Donald Lippincott,Tony Rosenthal,,"Knoedler & Company, Tony Rosenthal, and an anoymous donor",,,07/01/1993,,,Y         ,,11/18/2005,," Abstract, Sculpture","ALAMO / 1966-1967 / BY TONY ROSENTHAL / AN ANONYMOUS GIFT / TO THE CITY OF NEW YORK / NOVEMBER 1976 / JOHN V. LINDSAY MAYOR / AUGUST HECKSCHER, ADMINISTRATOR / PARKS, RECREATION AND CULTURAL AFFAIRS / DORIS FREEDMAN, DIRECTOR / DEPARTMENT OF CULTURAL AFFAIRS"
Alben Square Flagstaff,"Alben, Bud H.",11,Y,Brooklyn,Alben Memorial Square,B123,12,39,"Ft. Hamilton Pkwy., New Utrecht and 11th Avenues, and 46th Street",Y,1935,ca. 1935,Flagstaff with plaque,"Plaque H: 2' W: 1'7¼""; Base H: 2'8"" W: 2'10""",,"Concrete, bronze, brick terrace","U.S. Bronze Sign Company, NY",,,,"Bud H. Alben Post No. 1436, Veterans of Foreign Wars of the United States",,,07/01/1993,,,Y         ,,,," War Memorial, World War I","""LEST WE FORGET"" / ERECTED IN MEMORY / OF THE / VETERANS OF BORO PARK / WHO MADE THE / SUPREME SACRIFICE / DEDICATED BY / PVT. BUD H. ALBEN POST / NO. 1436 / VETERANS OF FOREIGN WARS / OF THE UNITED STATES / 1935 /"
Albert Bertel Thorvaldsen,,1543,Y,Manhattan,Central Park,M010,7,8,5th Avenue at 96th Street,Y,1894,,Portrait statue on pedestal with medallions,"H: 14'11"" W: 5'3"" D: 4'2""",CPC,"Bronze, Danish granite","Lauritz Rasmussen, Kjobenhavn",,Albert B Thorvaldsen,,Danish residents,,,07/01/1993,,,Y         ,,,," Allegorical, Artist",
Austin Flint,,495,Y,Manhattan,,M263,6,4,Bellevue Hospital; 1st Avenue at 26th Street,M,,,Tablet,,,"Brass, oak",,,,,,,,07/01/1993,,,,,,, Physician,
Alexander Hamilton,"Hamilton, Alexander",662,Y,Manhattan,Central Park,M010,7,8,"East Drive, opposite 83rd Street",Y,"November 20, 1880",1880,"Standing figure (over life-size) on intergral plinth, on pedestal","Total H: 15'5"" W: 7'10"" D: 7'10""",CPC,Westerly granite,,,Carl H. Conrads,,"John C. Hamilton, a grandson",,,07/01/1993,,,Y         ,,,," War Memorial, Revolutionary War",HAMILTON / PRESENTED BY / JOHN C. HAMILTON / 1880 /
Alexander Hamilton,,663,N,Manhattan,,,1,1,"COUNTY COURT HOUSE, ROOM 315; chambers and centre sts",Y,,,bust,,,plaster,,,,,,,,07/01/1993,,,,,,,,
Alexander Hamilton,,664,N,Manhattan,,,0,0,MUSEUM OF CITY OF NEW YORK; 103rd and 5th ave,Y,1941,,standing statue in niche,"6'6"" high",,nickel bronze,,,Adolph Alexander Weinman,,gift of a museum patron,,,07/01/1993,,,,,,,,
Alexander Hamilton,"Hamilton, Alexander",665,N,Manhattan,,,9,7,"HAMILTON GRANGE; convent avenue, 141st st",Y,1905 or 1936,,statue on pedestal,"17'6""h x 3'3""w x 4'd",,"bronze, Barre granite--polished",,,William Ordway Partridge,,,,,07/01/1993,,,,,,,,"HAMILTON / 1757 -1804 / ""THE MODEL OF ELOQUENCE AND THE / MOST FASCINATING OF ORATORS."" / STORY/  ""HIS RARE POWERS ENTITLE HIM / TO THE FAME OF BEING THE FIRST/INTELLECTUAL PRODUCT OF AMERICA."" / STEVENS  ""THE NAME OF HAMILTON WOULD HAVE/HONORED GREECE IN THE AGE OF ARISTIDES."" / AMES/  ""THERE IS NOT IN THE CONSTITUTION OF/THE UNITED STATES AN ELEMENT OF ORDER / OF FORCE OR OF DURATION WHICH HE HAS NOT / POWERFULLY CONTRUBUTED TO INTRODUCE / AND CAUSED TO PREDOMINATE.' / GUIZOT/  ""HE SMOTE THE ROCK OF THE NATIONAL / RESOURCES AND ABUNDANT STREAMS / OF REVENUE GUSHED FORTH."" / WEBSTER/ "
Alexander Lyman Holley,"Holley, Alexander Lyman",735,Y,Manhattan,Washington Square Park,M098,2,1,5th Avenue at Washington Place,Y,1889,1889,"Bust on a high central stele joined by screens to shorter side steles at right and left, the whole on a plinth resting on a semi-circular step","Bust H: 3'6""; Central stele H: 9'; Total W: 10'3"" D: 3'10""",MAS,"Bronze, Indiana limestone",,,John Quincy Adams Ward,Thomas Hastings,"Engineering societies: ASME, AIME, and ASCE",,,07/01/1993,,,Y         ,,,, Scientist/Inventor,"HOLLEY /---/ BORN IN LAKEVILLE / CONN., JULY 20TH 1832 / DIED IN BROOKLYN, N.Y. / JANUARY 29TH, 1882 [---] IN HONOR OF / ALEXANDER LYMAN HOLLEY / FOREMOST AMONG THOSE / WHOSE GENIUS AND ENERGY / ESTABLISHED IN AMERICA / AND IMPROVED /THROUGHOUT THE WORLD / THE MANUFACTURE OF / BESSEMER STEEL / THIS MEMORIAL IS ERECTED / BY ENGINEERS / OF TWO HEMISPHERES  "
Alexander von Humboldt,"von Humboldt, Alexander",1637,Y,Manhattan,Central Park,M010,7,8,Central Park West and 77th Street,Y,"September 14, 1869",1869,Bust (over life-size) on pedestal,"Bust H: 4'3""; overall H: 13' W: 6'10"" D: 6'",CPC,"Bronze, Westerly granite","Georg Howaldt & Sohn, Braunschweig",,Gustaf Blaeser,,Humboldt Memorial Association,,,07/01/1993,,,Y         ,,,," Scientist/Inventor, Explorer",
Alfred J. Kennedy Memorial Flagstaff,,852,Y,Queens,Flushing Park Center Plots,Q100,7,20,Northern Boulevard and Main Street,Y,"July 23, 1950",,"Flagstaff plaque, flagstaff","H: 3'9"" W: 4' D: 4'",,"Deer Isle Granite, bronze",,,,,A.J. Kennedy Memorial Committee Inc.,,,07/01/1993,,,Y         ,,,," Spanish-American War, World War II, War Memorial, Politcal Figure","Side one: * A TRIBUTE TO * / 1898  1902 / DEDICATED AND ERECTED TO THE MEMORY OF/ HON. ALFRED J. KENNEDY/ COMMANDER IN CHIEF/ UNITED SPANISH WAR VETERANS/ 1937 1938/ COMPANY F 22ND REG'T N.Y. VOL. INF. / CITIZEN / LEGISLATOR / STATESMAN / SOLDIER/ ANSWERED LAST ROLL CALL JULY 25, 1944 /   Side two: * THE MEN WHO * / WE HONOR THOSE / WHO DIED FOR / THEIR COUNTRY /   Side three: * SERVED IN THE * / ""REMEMBER THE MAINE"" / FREEDOM / PATRIOTISM / HUMANITY /   Side four: * WAR WITH SPAIN * / HONOR TO WHOM / HONOR IS DUE / DEDICATED JULY 23, 1950 /"
Alfred Lincoln Seligman Fountain,"Seligman, Alfred Lincoln",1424,Y,Manhattan,Morningside Park,M056,9,9,"114th Street and Morningside Avenue, at the foot of the stairway",Y,1914,ca. 1914,"Bear on rock with faun sheltering below, and adjacent plaque",H: 8',,Bronze,Roman Bronze Works,,Edgar Walter,,Alfred Lincoln Seligman and National Highways Protective Association,,,07/01/1993,Bear and Faun Fountain,,Y         ,,,2000.00, Animal: other,
Alfred Tredway White,"White, Alfred Tredway",1701,O,Brooklyn,Brooklyn Botanical Garden,B010,9,35,"Brooklyn Botanic Garden; Easten Pkwy, Flatbush and Washington Aves, Empire Blvd.",Y,"June 7, 1923",circa 1923,bas-relief on boulder,"bas-relief h 5'6"" x w 6'6""",,bas-relief--bronze; boulder--fieldstone,,,Daniel Chester French,Henry Bacon,"$23,000; Replica: Friends & Family of Seth Oliver Hawkins",,,07/01/1993,,,,06/01/1990,06/01/1990,, Sculpture,Inscription in cartouche beneath figures: ALFRED TREADWAY WHITE / 1846-1921 / LOVER OF NATURE - HELPER OF MANKIND-BELOVED OF ALL  Inscription on plaque on right-hand side of stele: GIFTS IN MEMORY OF / SETH OLIVER HAWKINS / 1965-1989 / FROM HIS FAMILY AND FRIENDS / MADE POSSIBLE THE PLACEMENT / OF THIS REPLICA OF / A DANIEL CHESTER FRENCH BAS RELIEF IN THIS THE / ORIGINAL LOCATION. / JUNE 1990
Algernon Sidney Sullivan,,1521,Y,the Bronx,Van Cortlandt Park,X092,13,11,Boat House,Y,1906,,Stele with fountain bases,"H: 10'2""  W: 4'3"" D: 4'6""",,"Deer Island granite, bronze",,,Jonathan Scott Hartly,Frank E. Wallis,Citizens of New York,,,07/01/1993,,,Y         ,,,6000.00, Politcal Figure,Front: IN HONOR OF / ALGERNON - SIDNEY - SULLIVAN / JURIST - STATESMAN - ORATOR / BORN 1826 --- DIED 1887 / HE REACHED OUT BOTH HANDS IN / CONSTANT HELPFULNESS TO HIS / FELLOWMEN / ERECTED BY CITIZENS OF NEW YORK / 1906 / FRANK E. WALLIS - ARCHITECT /
Alice Hochstader & Edward A. Kerbs,,859,Y,Manhattan,Central Park,M010,7,8,"East 72nd Street, Inventors Gatepost",Y,"June 2, 1954",,Tablet on exterior wall,"H: 1'5"" W: 1'9""",,Bronze,,,,,Jeanne E. Kerbs,,,07/01/1993,,,Y         ,,,,,"THE INSCRIPTION ON THIS GATE / AND THE ADJACENT / LANDSCAPE IMPROVEMENT / WERE DONATED TO THE / CITY OF NEW YORK / BY / JEANNE E. KERBS / IN MEMORY OF HER PARENTS / ALICE HOCHSTADER KERBS / AND EDWARD A. KERBS. JUNE 2, 1954 "
Andre J. G. Parmentier,,1159,O,Brooklyn,Brooklyn Botanical Garden,B010,9,35,Brooklyn Botanical Garden; Eastern Parkway entrance,Y,1925,,Tablet on boulder,"H: 32"" W: 24""",,"Bronze, natural boulder",,,Joseph Fibbel Studio,,Parmetier-Bayer Cent. Comm.,,,07/01/1993,,,,,,375.00,,
"Beisa, Eland Gnu",,1957,O,Manhattan,,M010,7,8,"Central Park Zoo; East Wall, Antelope House",Y,1937,,carved panel,,,Indiana limestone,,,Frederick G. R. Roth,Aymar Embury II,,,,,,,,,,," Sculpture, Animal: other",
Alice in Wonderland,Alice in Wonderland,13,Y,Manhattan,Central Park,M010,7,8,"76th Street and 5th Avenue, near Conservatory Lake",Y,"May 7, 1959",1959,Group (heroic scale),"Group H: 9'7"" D: 14'6""; Plinth H: 1'  Diameter: 34'; Esplanade Diameter: 67'; Seven bronze tablets each H: 1'9"" W: 4'",CPC,"Bronze, Chelmsford granite",Modern Art Foundry,,José de Creeft,F. Texidor; designer--Hideo Sasaki,George and Margarita Delacorte,,,07/01/1993,,,Y         ,,,," Animal: other, Juvenile, Literary Character, Sculpture, Women","Seven bronze tablets:  1) TWINKLE, TWINKLE LITTLE BAT! / HOW I WONDER WHAT YOU'RE AT! / UP ABOVE THE WORLD YOU FLY, / LIKE A TEA-TRAY IN THE SKY. /  2) THEY TOLD ME YOU HAD BEEN TO HER, / AND MENTIONED ME TO HIM: / SHE GAVE ME A GOOD CHARACTER, / BUT SAID I COULD NOT SWIM. /  3) BEAUTIFUL SOUP, SO RICH AND GREEN / WAITING IN A HOT TUREEN! / WHO FOR SUCH DAINTIES WOULD NOT STOOP? / SOUP OF THE EVENING, BEAUTIFUL SOUP! /  4) TWEEDLEDUM AND TWEEDLEDEE / AGREED TO HAVE A BATTLE; / FOR TWEEDLEDUM SAID TWEEDLEDEE / HAD SPOILED HIS NICE NEW RATTLE. /  5) TWAS BRILLIG, AND THE SLITHY TOVES / DID GYRE AND GIMBLE IN THE COABE; / ALL MIMSY WERE THE BOROGROVES, / AND THE MOME RATHS OUTGRABE. /  6) SPEAK ROUGHLY TO YOUR LITTLE BOY, / AND BEAT HIM WHEN HE SNEEZES; / HE ONLY DOES IT TO ANNOY, / BECAUSE HE KNOWS IT TEASES./  7) ALICE IN WONDERLAND / IN MEMORY OF MY WIFE / MARGARITA DELACORTE / WHO LOVED ALL CHILDREN / GTD / MAGARITA DELACORTE MEMORIAL / "
Allen Street Mall,,2106,Y,Manhattan,,M004,3,1,Allen Street between Broome Street and Delancey Street,Y,,,Five rough-hewn limestone boulders and thirteen rough-hewn marble rocks,"Large rocks: H: 100"" W: 40"" D: 24"" or H: 68"" W: 40"" D: 16"". Small rocks: H: 10"" W: 13"" D: 13""; H: 14"" W: 11"" D: 3""; or H: 12"" W: 21"" D: 3""",NYC DOT,"Limestone, marble","China Ceramic International, Inc., New York",,Justen Ladda in collaboration with Chris Crowley (DPR Landscape Artist),,,,,,,,,04/01/2008,,,,
Allerton Avenue Bridge Plaques,Allerton Avenue Bridge Plaques,15,Y,the Bronx,Bronx Park,X002,14,12,East of main entrance to Botanical Gardens,Y,1905,ca. 1905,Two plaques on either side of road,"H: 1'8"" x W: 2'6""",,Bronze,,,,,,,,07/01/1993,,,Y         ,,,,,HENRY C. SCHRAEDER / COMMISSIONER OF PARKS / BOROUGH OF BRONX / MARTIN SCHENK / CHIEF ENGINEER / JOHN R. BRINLEY / ARCHITECT AND ENGINEER / M.J. LEAHY / CONTRACTOR AND BUILDER / 1905 /
Altman Memorial Fountain,"Altman, Benjamin",16,Y,Manhattan,Central Park,M010,7,8,,N,July 1956,1955,Fountain,,,Stone,,,,,Altman Foundation,,,07/01/1993,,,,,,,,THIS PONY TRACK IS THE GIFT OF THE ALTMAN FOUNDATION / IN MEMORY OF BENJAMIN ALTMAN 1956
Altman Plaque,Altman,17,Y,Manhattan,Highbridge Park,M037,12,7,"Highbridge Tower, 173rd Street and Amsterdam Avenue",N,"May 30, 1958",ca. 1958,Plaque,"h 1'2¼"" x w 1'10½""",,Bronze,,,,,Altman Foundation,,,07/01/1993,,,,,,, Business Leader,"THE ALTMAN MEMORIAL / CARILLON IN THIS TOWER / IS A GIFT TO THE PEOPLE OF THE CITY OF NEW YORK BY / ALTMAN FOUNDATION / MAY 30, 1958"
